Item,Quantity,Link
Raspberry Pi 4b,1,https://www.adafruit.com/product/4296?gad_source=1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu59fSHqWS6Q8l671lD1PkDofMJfy675DvAu2KeM1mk4uDYEVdcQE9UaAgrTEALw_wcB
Servos,18,https://www.aliexpress.us/item/2251801756814911.html?spm=a2g0o.order_list.order_list_main.5.4f9518029wSsn6&gatewayAdapt=glo2usa
Micro Limit Switches (25 pack),1,https://www.amazon.com/Cylewet-25Pcs-Switch-Arduino-CYT1073/dp/B073TYWX86/ref=sr_1_1_sspa?crid=PYRS4GDPIE3B&dib=eyJ2IjoiMSJ9.6uYab1pzQ268B289nnPbK0SnkR2_bLH24wp5cekLu6_VDe_BYuWJ1g0hMND_l7lLv9e_6_H0aqcslplhO9ZswkxNVdVZPvYxdC5LkyQ3Y8hMUMPyBJGCTG55P87RgWF6eCnKMn1KZ8nZuaeBh2NM6THpf_l2h38AvWsbciYyglh8aB0pdgk2zfDM1xEfWWVXMmCsKR-kepX115MK6cBTKxKWnaj7swrzLA74uE_AMKg.CY_jcLNhvedECjZI0XBnPF8DFXvoKNE9bB2VugIqOMk&dib_tag=se&keywords=micro+limit+switches&qid=1733762915&sprefix=micro+limit+switches%2Caps%2C85&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
7.4V LIPO Battery,1,https://www.amazon.com/Zeee-6200mAh-Battery-Connector-Evader/dp/B07YD6282M/ref=sr_1_3_sspa?crid=2ZBLCWDVVW74R&dib=eyJ2IjoiMSJ9.4Gi-lboyJk3FtmuowYz58PnPeywYFNJraA2CiQTjvnZnHL4VTfmGMzAnbXpnLS11sZjGb7OQND_83pkSfFaIsFXbMEDmUbFSnBWeHh4_fub24XXeuHAmvS2PM92wyWQDE6UNMAoOLQ7Jm3dxA_LM2p5-HgDlvP_mYv8Vu9c_6gIg0wBmFwOVrK3HUO3W27ptqLHWJPxAbMQFOQcge51eYeFADOY5PNRvISiKJ1aWp_Faq0Enirj-kvIofi8yE7oA-0BySiHFgpvaJ10NEfrDNZseqP4R9k5rCTJ1bSq8FPE.iF1gsSzoKaeIWdfrcCo4e7pw9__3xMRxmBaE9HKCiRs&dib_tag=se&keywords=7.4v+lipo+battery&qid=1733762994&sprefix=7.4v+lipo%2Caps%2C101&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
T Plug Connectors,1,https://www.amazon.com/dp/B07QM1WS2J?ref=ppx_yo2ov_dt_b_fed_asin_title
Fan,1,https://www.amazon.com/Easycargo-Raspberry-30x30x7mm-Brushless-30mmx30mmx7mm/dp/B0794TXK2W/ref=sr_1_2?crid=2RZ3WEQ4AVR3S&dib=eyJ2IjoiMSJ9.K4vdhX9GvutxxHpCcE_hTzDL8Mm3ZRnEtiMNeeQo9yiFfPgBNUHk3hp1qB0p4V9rAYnJCs7R0q3a6s1aE351zEeKUj1FO_HwLLgQL77tFs31G82HcVUi8Wsnci6ps1NqKnTDbcBnx8d3cREXKyBhSETQFIImQVqKWfjjCmOTZaSWgo0_CJLsHwLwIt0HpHC1cNvgRIW0f2r_Vg3WR-RkpEOCIRatocsuRIlj_kdcsa8MlVMZ6dIph_wBt49Ai8qBXmX2c465cDS4O0ZOHHEXUJ8DOAV41ljVATauXtBaNI4.lkcPCoIUyC7R1GdthoAe5aX2eFjBswhcdQNbkLvIZJs&dib_tag=se&keywords=arduino%2Bfan%2B5v&qid=1733785332&s=industrial&sprefix=arduino%2Bfan%2B5v%2Cindustrial%2C79&sr=1-2&th=1
Control Board PCB,1,
Hexapod Structure,1,https://github.com/robs-tech-workbench/hexapod_spiderbot_model
